latitude,longitude,task_created_time,task_completed_time,amount,cod_received_status,task_assigned_to,task_status,flow,task_id,branch_destination,task_status_label,receiver_city,task_detail_status_label,task_detail_status,weight,branch_origin,task_status_id
4.1736393,96.1386157,2022-11-01 11:56:24 +0700,2022-11-01 14:46:15 +0700,168000,True,humorousSausage2,done,Delivery,b90e645d51f5bf4067d4,BTJ,Success,"JOHAN PAHLAWAN,MEULA",YANG BERSANGKUTAN,D01,0.5,CGK,COLF01
4.1418636,96.1323254,2022-11-01 11:56:23 +0700,2022-11-01 20:33:24 +0700,303680,True,humorousSausage2,done,Delivery,4bf9959cac2799aab65a,BTJ,Success,"JOHAN PAHLAWAN,MEULA",YANG BERSANGKUTAN,D01,1,BDO,COLF01
-7.8071323,109.996768,2022-11-01 08:41:07 +0700,2022-11-01 14:39:27 +0700,141500,True,peacefulTacos6,done,Delivery,859cb872f0d41a8f1480,MGL,Success,"BAGELEN,PURWOREJO",YANG BERSANGKUTAN,D01,0.9,CGK,COLF01
-7.8744655,110.0382645,2022-11-01 08:41:07 +0700,2022-11-01 12:41:25 +0700,87846,True,peacefulTacos6,done,Delivery,4ca8c0cd89cbd0b14037,MGL,Success,"PURWODADI,PURWOREJO",YANG BERSANGKUTAN,D01,2.4,CGK,COLF01
-6.9066197,109.722736,2022-11-01 12:00:24 +0700,2022-11-01 15:57:53 +0700,201000,True,pacifiedLion0,done,Delivery,7cff0ce41a1a88be3242,SRG,Success,"BATANG ,KAB BATANG",YANG BERSANGKUTAN,D01,1,CGK,COLF01
-6.9218415,109.7286646,2022-11-01 12:00:23 +0700,2022-11-01 19:08:42 +0700,156000,True,pacifiedLion0,done,Delivery,754b54fbfc05265af00e,SRG,Success,"BATANG ,KAB BATANG",YANG BERSANGKUTAN,D01,1,CGK,COLF01
-6.9205053,109.7277302,2022-11-01 12:00:24 +0700,2022-11-01 19:04:19 +0700,29632,True,pacifiedLion0,done,Delivery,35f1e1c2a2c6acc743e3,SRG,Success,"BATANG ,KAB BATANG",YANG BERSANGKUTAN,D01,0.1,CGK,COLF01
-6.392165,106.2330333,2022-11-01 10:23:10 +0700,2022-11-01 20:31:13 +0700,47398,True,crummyCrane8,done,Delivery,63d43a1636c41db96936,CLG,Success,"CIMARGA,RANGKASBITUN",KELUARGA/SAUDARA,D09,2,CGK,COLF01
-6.392165,106.2330333,2022-11-01 10:23:10 +0700,2022-11-01 20:31:13 +0700,138582,True,crummyCrane8,done,Delivery,448d0dfb44137a1d03fc,CLG,Success,"CIMARGA,RANGKASBITUN",KELUARGA/SAUDARA,D09,3,CGK,COLF01
-6.3922967,106.2330883,2022-11-01 10:23:10 +0700,2022-11-01 20:35:43 +0700,241413,True,crummyCrane8,done,Delivery,be89224d5378934e4a4d,CLG,Success,"CIMARGA,RANGKASBITUN",YANG BERSANGKUTAN,D01,7.22,CGK,COLF01
