,date_start,date_stop,time_start,time_stop,latitude,longitude,amount,cod_received_status,task_status,flow,branch_destination,task_status_label,task_detail_status_label,task_detail_status,weight,branch_origin,task_status_id,task_assigned_to,task_id,receiver_city,delivery_time
521,2022-11-01,2022-11-01,08:35:18,14:42:22,-7.921668,112.5695445,1831.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.1,CGK,COLF01,wornoutEggs4,36565c748b8ff72db110,"DAU, KABUPATEN MALAN",367.06666666666666
522,2022-11-01,2022-11-01,08:35:18,14:33:32,-7.9225309,112.569368,46510.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.03,CGK,COLF01,wornoutEggs4,4321a375b0840fd4f264,"DAU, KABUPATEN MALAN",358.23333333333335
523,2022-11-01,2022-11-01,08:35:20,14:42:22,-7.921668,112.5695445,837.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.05,CGK,COLF01,wornoutEggs4,86446581f83106d91869,"DAU, KABUPATEN MALAN",367.03333333333336
524,2022-11-01,2022-11-01,08:35:17,13:15:10,-7.9245514,112.5729091,71221.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.12,CGK,COLF01,wornoutEggs4,9a0b1bba8fd26c12e36a,"DAU, KABUPATEN MALAN",279.8833333333333
525,2022-11-01,2022-11-01,08:35:18,13:57:25,-7.9270851,112.5657327,9254.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.01,CGK,COLF01,wornoutEggs4,696ebdccc793778bb1e0,"DAU, KABUPATEN MALAN",322.1166666666667
526,2022-11-01,2022-11-01,08:35:18,15:45:31,-7.9207682,112.5745446,19506.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.04,CGK,COLF01,wornoutEggs4,64294109650a43a06836,"DAU, KABUPATEN MALAN",430.21666666666664
527,2022-11-01,2022-11-01,08:35:18,12:33:30,-7.9197281,112.5821632,32171.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.21,CGK,COLF01,wornoutEggs4,24dfaee57c15c6eba418,"DAU, KABUPATEN MALAN",238.2
528,2022-11-01,2022-11-01,08:35:17,15:49:16,-7.9207682,112.5745446,53312.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.03,CGK,COLF01,wornoutEggs4,3641c6f4fa9974a40f57,"DAU, KABUPATEN MALAN",433.98333333333335
529,2022-11-01,2022-11-01,08:35:19,15:44:06,-7.9225425,112.5758736,26480.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.04,CGK,COLF01,wornoutEggs4,4b566db9ba90c35e0a5d,"DAU, KABUPATEN MALAN",428.78333333333336
530,2022-11-01,2022-11-01,08:35:18,16:54:02,-7.9177494,112.5883013,7500.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.048,CGK,COLF01,wornoutEggs4,a8e01e1651843312a302,"DAU, KABUPATEN MALAN",498.7333333333334
531,2022-11-01,2022-11-01,08:35:18,14:38:11,-7.9225309,112.569368,31073.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.01,CGK,COLF01,wornoutEggs4,c410bb030dc6675011ab,"DAU, KABUPATEN MALAN",362.8833333333333
532,2022-11-01,2022-11-01,08:35:18,16:09:33,-7.9101472,112.5839926,174070.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,wornoutEggs4,a221de9acb6a8f6655c3,"DAU, KABUPATEN MALAN",454.25
533,2022-11-01,2022-11-01,08:35:18,12:31:05,-7.9197541,112.5821388,40657.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.07,CGK,COLF01,wornoutEggs4,098814bf25c2568369cf,"DAU, KABUPATEN MALAN",235.78333333333333
534,2022-11-01,2022-11-01,08:35:18,16:35:56,-7.9139699,112.586408,33810.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.5,CGK,COLF01,wornoutEggs4,955739518ab12289f280,"DAU, KABUPATEN MALAN",480.6333333333333
535,2022-11-01,2022-11-01,08:35:18,11:28:13,-7.9228728,112.587605,97553.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.09,CGK,COLF01,wornoutEggs4,6c1f944fdd5ae8b14840,"DAU, KABUPATEN MALAN",172.91666666666666
536,2022-11-01,2022-11-01,08:35:18,16:30:15,-7.912309,112.5850345,48336.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,0.08,CGK,COLF01,wornoutEggs4,a1f1e16dcb936192defb,"DAU, KABUPATEN MALAN",474.95
537,2022-11-01,2022-11-01,08:35:19,13:39:50,-7.9288582,112.5741116,289260.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,3.0,CGK,COLF01,wornoutEggs4,4fb5fc0321b1113e3fa2,"DAU, KABUPATEN MALAN",304.51666666666665
538,2022-11-01,2022-11-01,08:35:17,15:01:10,-7.9227382,112.5738312,200000.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,1.0,TGR,COLF01,wornoutEggs4,9947286dd0b00e68338d,"DAU, KABUPATEN MALAN",385.8833333333333
