,date_start,time_start,time_stop,branch_destination,task_detail_status,weight,branch_origin,task_status_id,task_assigned_to,task_id,receiver_city,delivery_time,amount_prediction
111,2022-11-02,07:48:24,08:09:02,20.0,D01,0.75,0.0,COLF01,exactingSnipe3,29509da163f42d8b41f2,KUNINGAN,20.633333333333333,120961.83026763306
113,2022-11-02,07:48:24,08:09:02,20.0,D01,0.75,0.0,COLF01,exactingSnipe3,275a4782dec70eac3fda,KUNINGAN,20.633333333333333,120961.83026763306
114,2022-11-02,07:24:57,08:09:00,38.0,D10,1.0,0.0,COLF01,lyingPoultry6,98c2d426d581ee57a69e,MATARAM,44.05,220752.018777444
115,2022-11-02,07:44:51,08:09:01,54.0,D01,1.3,0.0,COLF01,truthfulTruffle6,40a875a695cd92ca5764,"GROGOL ,JAKARTA BARA",24.166666666666668,169379.63961156615
116,2022-11-02,07:05:33,08:09:25,39.0,D01,3.0,0.0,COLF01,stressedLion4,533c424beb8ba70b7918,"DENPASAR SELATAN,DEN",63.866666666666674,294617.5306086644
117,2022-11-02,08:08:24,08:10:02,1.0,U12,6.0,5.0,COLF02,annoyedQuiche5,02b0834802c29cb75ef6,PATI JAWA TENGAH,1.6333333333333333,264731.57747358305
118,2022-11-02,08:04:43,08:10:06,33.0,D01,1.0,26.0,COLF01,murkyMagpie8,a8bd6360c5647cf6c7a4,BANJARMASIN,5.383333333333334,267560.272064784
119,2022-11-02,07:40:31,08:10:04,27.0,D10,1.0,18.0,COLF01,exactingCordial2,e68c408190dff26b8f55,"OEBOBO,KUPANG",29.55,399290.7748296655
120,2022-11-02,07:04:33,08:10:04,35.0,D01,1.0,0.0,COLF01,puzzledBoa1,dd56a2b8fc5eba14d882,"BOGOR TIMUR, BOGOR",65.51666666666668,178095.12737364502
121,2022-11-02,08:02:01,08:09:07,54.0,D09,10.0,0.0,COLF01,scornfulWigeon8,07f073e1afc427026bfb,"KEMAYORAN ,JAKARTA P",7.1,238596.176365119
122,2022-11-02,07:57:57,08:09:24,29.0,D01,0.07,0.0,COLF01,boastfulLard6,43a25847f3461909602b,"BALEGA,BANGKALAN",11.45,52773.05280691427
124,2022-11-02,08:09:17,08:09:37,27.0,D01,1.0,0.0,COLF01,annoyedSwift7,c069fedeeda4621f570f,"ATAMBUA BARAT,BELU",0.3333333333333333,226529.63551466443
125,2022-11-02,08:09:00,08:09:33,22.0,D01,18.0,17.0,COLF01,enviousViper9,87f96ce54e973679eedd,"TEBO ILIR,MUARA TEBO",0.55,871924.8386052733
127,2022-11-02,07:51:39,08:09:33,27.0,D01,1.0,18.0,COLF01,peskyTeal5,e875408d31c69f3a5896,"BOAWAE,MBAY",17.9,163240.35052243667
128,2022-11-02,08:04:43,08:09:35,33.0,D10,1.0,0.0,COLF01,murkyMagpie8,92fd40247fa89d76758d,BANJARMASIN,4.866666666666666,201030.27452589836
129,2022-11-02,07:01:39,08:09:37,54.0,D09,8.0,0.0,COLF01,mildBoa2,53959e2de2e7e7babda5,"TEBET,JAKARTA SELATA",67.96666666666667,157857.31062531064
130,2022-11-02,07:20:16,08:09:35,35.0,D09,10.0,0.0,COLF01,curiousGarlic7,e0a9c9ced6a894263e6e,"BOJONG GEDE,KAB.BOGO",49.31666666666667,156962.17410811153
131,2022-11-02,08:04:43,08:09:35,33.0,D10,1.0,0.0,COLF01,murkyMagpie8,d1a2467d3b910dcf8ea4,BANJARMASIN,4.866666666666666,201030.27452589836
132,2022-11-02,07:21:29,08:09:35,28.0,D01,20.0,0.0,COLF01,sheepishCrackers4,f7d578597099a81e79cd,"MUARAENIM,KAB.MUARAE",48.1,1849873.3467675075
133,2022-11-02,07:20:18,08:09:35,35.0,D09,7.8,0.0,COLF01,curiousGarlic7,d58161ca206ef6dee45d,"BOJONG GEDE,KAB.BOGO",49.28333333333333,169429.26248539783
134,2022-11-02,07:03:29,08:09:37,20.0,D01,1.0,14.0,COLF01,needyPaella6,084a63e55fd92765d878,"KUNINGAN, KAB KUNING",66.13333333333334,175630.76804213325
136,2022-11-02,07:35:02,08:10:30,54.0,D09,7.0,0.0,COLF01,lazyTomatoe6,86f08c08203ccf2ea7f1,"SETIABUDI ,JAKARTA S",35.46666666666667,177148.03483555102
137,2022-11-02,07:30:09,08:11:53,19.0,U03,0.82,0.0,COLF02,insecureLollies7,d5612834b520500d4175,"SUNGAI RAYA,KUBU RAY",41.733333333333334,135702.52168805653
138,2022-11-02,07:30:02,08:11:50,27.0,U05,4.5,0.0,COLF02,pluckyBagels1,8c7df6361a8143d50f20,"KELAPA LIMA,KUPANG",41.8,693229.7443023685
139,2022-11-02,07:30:09,08:11:53,19.0,U03,1.0,0.0,COLF02,insecureLollies7,f5bf75a7c9e30ae5cf45,"SUNGAI RAYA,KUBU RAY",41.733333333333334,193876.95608313227
140,2022-11-02,07:17:01,08:11:57,35.0,D07,0.5,0.0,COLF01,gloomyHawk4,7e19ed230db9f44747ef,"TANAH SEREAL, BOGOR",54.93333333333333,276152.4808741578
141,2022-11-02,07:25:29,08:09:16,43.0,D01,0.8,0.0,COLF01,jubilantWasp9,a194debee9be5544874f,"JOMBANG,KAB. JOMBANG",43.78333333333333,375582.76864750584
142,2022-11-02,07:11:56,08:09:17,39.0,D01,1.0,1.0,COLF01,worriedPolenta8,7182fec862323bdbdaa6,"DENPASAR SELATAN,DEN",57.35,222140.39807243334
143,2022-11-02,07:26:13,08:09:17,27.0,D01,5.8,0.0,COLF01,grumpyHyena6,05cfe23cab641c989157,"KELAPA LIMA,KUPANG",43.06666666666667,627674.5681039556
145,2022-11-02,08:07:34,08:09:17,6.0,U05,0.25,0.0,COLF02,scornfulBoars5,77301ddb2018d2bcc9b6,"CITAMIANG, SUKABUMI",1.7166666666666666,79753.54860592418
146,2022-11-02,07:45:00,08:03:10,0.0,D01,9.0,0.0,COLF01,tautAbalone4,621b2a05a9be252083ad,"CEPIRING,KENDAL",18.166666666666668,581929.4693445977
148,2022-11-02,07:36:51,08:09:55,23.0,D01,1.0,1.0,COLF01,awedQuiche9,bdc448266afc93e12f44,"BALIKPAPAN UTARA, BA",33.06666666666667,204551.07038578397
149,2022-11-02,07:36:51,08:09:55,23.0,D01,1.0,1.0,COLF01,awedQuiche9,db162ace796d298d3be1,"BALIKPAPAN UTARA, BA",33.06666666666667,204551.07038578397
150,2022-11-02,08:09:50,08:10:16,52.0,D01,0.98,0.0,COLF01,dopeyRelish6,a9ef1021f08d7a889f7b,"TAMBUN UTARA,CIKARAN",0.43333333333333335,214760.68848403852
151,2022-11-02,07:52:37,08:08:15,54.0,D04,1.0,0.0,COLF01,kindBoa9,a09f6b8a506eb87c0909,"KEMBANGAN ,JAKARTA B",15.633333333333335,193931.99432983977
153,2022-11-02,07:22:32,08:10:21,43.0,D06,9.08,0.0,COLF01,annoyedFlamingo0,edf52ab496a6021a1612,"JOMBANG,KAB. JOMBANG",47.81666666666667,980835.174857194
154,2022-11-02,08:08:52,08:10:29,28.0,U05,48.048,0.0,COLF02,spiritedCardinal2,0d7901bd53eba331f04a,"SEKAYU,KAB.MUSI BANY",1.6166666666666667,2487901.3467273517
155,2022-11-02,07:30:35,08:10:33,29.0,D01,3.43,0.0,COLF01,peacefulBoa5,458f2b1962618db48554,"LAMONGAN,KAB.LAMONGA",39.96666666666667,380663.57749058626
156,2022-11-02,07:45:55,08:10:30,39.0,U12,1.0,0.0,COLF02,debonairRhino7,9ab91a7fcf87c7964d3a,NUSA DUA BADUNG,24.583333333333332,219433.09415684344
157,2022-11-02,07:51:39,08:10:34,27.0,D01,3.3,0.0,COLF01,peskyTeal5,35ecb3474f21ca8b50b3,"BOAWAE,MBAY",18.916666666666668,1024356.1766242611
158,2022-11-02,07:34:49,08:10:28,23.0,D04,1.0,14.0,COLF01,morbidTermite0,609a9186040639edcdc3,BALIKPAPAN,35.65,206335.24046086747
159,2022-11-02,07:00:54,08:10:31,58.0,D01,5.0,0.0,COLF01,empathicBoa7,3f71568bacb0b8dfa74f,"SINDANGKASIH , CIAMI",69.61666666666666,180235.97420911674
160,2022-11-02,07:34:49,08:10:28,23.0,D04,1.0,14.0,COLF01,morbidTermite0,a652b5200edfb81f12da,BALIKPAPAN,35.65,206335.24046086747
161,2022-11-02,07:06:01,08:10:51,39.0,D01,1.3,12.0,COLF01,peskyLemur8,31ee0f0786e9ee6a9a6b,"DENPASAR BARAT,DENPA",64.83333333333334,213475.8712678229
162,2022-11-02,07:51:39,08:10:49,27.0,D01,1.0,0.0,COLF01,peskyTeal5,dcc1db78ac284fd0ec8e,"BOAWAE,MBAY",19.166666666666668,286478.0198401288
163,2022-11-02,07:01:15,08:10:49,33.0,D06,1.0,3.0,COLF01,guiltyCur3,24fa83322b27bee90d74,"BANJAR BARU UTARA,BA",69.56666666666666,209717.91933118124
164,2022-11-02,07:15:05,08:10:43,27.0,D01,8.0,0.0,COLF01,stressedPoultry6,02e4cecc6fe95733fd4c,"OEBOBO,KUPANG",55.63333333333333,599307.0255322437
165,2022-11-02,08:03:24,08:10:49,35.0,U12,1.0,21.0,COLF02,morbidDoughnut7,18a359a268d5e9d44461,"CIBINONG,BOGOR",7.416666666666667,211070.28022475113
167,2022-11-02,07:39:30,08:10:56,54.0,D04,1.4,0.0,COLF01,mereSheep3,a04aad0be47f887566d3,"SETIABUDI ,JAKARTA S",31.433333333333337,165627.49398121395
169,2022-11-02,07:20:33,08:10:05,35.0,D01,0.1,0.0,COLF01,vengefulBaboon1,1ac7e3c0801c2b358f06,"SUKARAJA,KAB.BOGOR",49.53333333333333,47337.386797615
170,2022-11-02,07:23:09,08:10:09,19.0,D09,8.8,0.0,COLF01,forsakenMuesli0,aa26a952442350457023,"SINTANG,KAB.SINTANG",47.0,443870.0465437169
